VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
a8c2b37e-d10c-3f35-b956-b9156702738d,SM YANTIAN,440189000,9312949.0,D7FS,CONTAINER,304.0,40.0,228.0,76.0,26.0,14.0,75061.0
a8d928d1-5b31-31b0-8bda-be4e5d6d0d19,CMA CGM MISSOURI,636018542,9679919.0,D5QE4,CONTAINER,300.0,48.0,228.0,72.0,18.0,30.0,102931.0
a924d4c6-d873-3a9b-98c4-3bae326f8433,ANDERSON DRAGON,563129600,9470739.0,9V7047,CONTAINER,172.0,28.0,132.0,40.0,14.0,14.0,17211.0
aa4febdb-2bd3-3393-9ccb-1c51df3dc94d,WAN HAI 295,563159700,9871414.0,9V6516,CONTAINER,175.0,29.0,131.0,44.0,3.0,26.0,20847.0
aa581cdd-a43d-38a4-8c8f-da806c30e0af,YM WELLBEING,355563000,9820908.0,HPFB,CONTAINER,366.0,51.0,144.0,222.0,33.0,18.0,151451.0
ab20ab49-43f3-39f2-91ce-c81febfc5847,ONE CONTRIBUTION,636021649,9629914.0,5LEZ8,CONTAINER,316.0,46.0,226.0,90.0,31.0,15.0,87023.0
ab4c4d1c-b14c-3f27-9d94-8f87565635ee,DONGJIN VOYAGER,440716000,9802011.0,D7SB,CONTAINER,172.0,28.0,130.0,42.0,8.0,20.0,18278.0
ab7eb51c-645b-34ca-bedf-5e4351007ddd,KMTC NHAVA SHEVA,440761000,9375501.0,D7SG,CONTAINER,261.0,32.0,193.0,68.0,9.0,23.0,40487.0
ab852994-2c13-398f-bab1-264847ed75db,KUO LONG,477884200,9796509.0,VRQF2,CONTAINER,170.0,28.0,159.0,11.0,15.0,13.0,18826.0
abefb79c-74ee-37f5-87fc-010b968f49fe,SUNNY CAMELLIA,477066600,9698393.0,VRNZ6,CONTAINER,141.0,23.0,118.0,23.0,14.0,9.0,9551.0
ac01ca4c-2c7a-3ff4-8bc8-d3db0648e6a4,NORDMAAS,209695000,9822736.0,5BHU5,CONTAINER,172.0,28.0,155.0,17.0,22.0,6.0,19035.0
ac541502-2897-3af5-b25e-cab9f55341a2,SEASPAN HANNOVER,477302200,9320013.0,VRSM5,CONTAINER,207.0,30.0,190.0,17.0,5.0,25.0,25406.0
acd249cf-6e51-3fe2-9cef-ac513024c5c7,SUNNY LILY,538005519,9691761.0,V7ER5,CONTAINER,145.0,22.0,112.0,33.0,18.0,4.0,9988.0
ad2770af-5741-3900-bd5a-81a894eeb47a,GLOBAL NUBIRA,440505000,9167306.0,DSOB7,CONTAINER,98.0,17.0,82.0,16.0,12.0,5.0,3809.0
ae522e51-9224-3592-b6cb-98ee0d774562,MSC BERYL,357926000,9467392.0,3EXV8,CONTAINER,366.0,48.0,146.0,220.0,32.0,16.0,140096.0
ae7a2f73-c45f-3db8-bfd8-fdf18f752009,ITAJAI EXPRESS,538009762,9520053.0,V7A5133,CONTAINER,335.0,51.0,130.0,205.0,33.0,18.0,123560.0
aeb04d95-6d9e-3e0b-9caf-947fac9880da,GRASMERE MAERSK,565253000,9193276.0,9V3820,CONTAINER,292.0,32.0,223.0,69.0,16.0,16.0,50698.0
af2ff49a-4e82-3b27-af7d-b8ad38ffcd51,STAR VOYAGER,440366000,9754795.0,D7FU,CONTAINER,141.0,25.0,111.0,30.0,18.0,7.0,9955.0
af90f964-a74f-3875-a75b-c06ee10503b4,TAN CANG GLORY,574002930,9334105.0,XVFA9,CONTAINER,133.0,19.0,120.0,13.0,9.0,10.0,6474.0
b162ca32-6823-31d6-b888-ebc04256e6d6,ONE TRUTH,356984000,9773210.0,3FBJ9,CONTAINER,399.0,58.0,142.0,257.0,35.0,23.0,210691.0
b2194217-9caa-3d6f-a782-8cbeb31ed5f6,SITC KWANGYANG,477274900,9610535.0,VRJQ9,CONTAINER,140.0,22.0,115.0,25.0,18.0,4.0,9520.0
b22b81e2-2e43-3ab3-b224-7331ff51f48f,APL BOSTON,566950000,9597496.0,9V9917,CONTAINER,328.0,46.0,234.0,94.0,27.0,19.0,109712.0
b2901479-3d23-3601-8c74-2d7779a1d8e9,MONACO,636090967,9314961.0,A8IF2,CONTAINER,222.0,30.0,175.0,47.0,19.0,11.0,28927.0
b2b63e62-2f0e-319a-b3b6-16a0c6247df7,KOTA LUKIS,477302500,9439747.0,VRSN8,CONTAINER,261.0,32.0,216.0,45.0,0.0,32.0,39906.0
b31b33b6-95b4-34d8-bbd6-85bee88ea716,TZINI,229338000,9625906.0,9HA3246,CONTAINER,170.0,30.0,134.0,36.0,9.0,21.0,20239.0
b35e87a4-d72f-3761-a428-044906e0c658,YM WELCOME,477430100,9708459.0,VRPF8,CONTAINER,368.0,51.0,144.0,224.0,21.0,30.0,145136.0
b368d399-5b5f-3a92-8697-5e3dd3deb354,ORIENTAL BRIGHT,352830000,9412804.0,3EME9,CONTAINER,162.0,26.0,137.0,25.0,17.0,9.0,13596.0
b40a3694-8da2-381a-88cd-6a148732cd11,LUCKY DRAGON,636015121,9117181.0,A8YS5,CONTAINER,174.0,26.0,156.0,18.0,13.0,13.0,17287.0
b45675df-8a12-3304-9513-0476ee62c179,MSC NATASHA XIII,636018385,9463035.0,D5PL3,CONTAINER,366.0,48.0,142.0,224.0,31.0,17.0,141649.0
b48ac2db-1cf7-30c9-8041-8237a2c60efa,MAERSK TAURUS,565762000,9334674.0,9VFV4,CONTAINER,332.0,43.0,258.0,74.0,27.0,16.0,94193.0
b49a04ad-5c6e-3a52-8ed0-75e28f0ea29c,HOCHIMINH VOYAGER,440006000,9532276.0,D7CJ,CONTAINER,199.0,32.0,150.0,49.0,11.0,21.0,27061.0
b4abbc86-647d-3631-8a4c-e575f5cb0eab,CONTSHIP ERA,209459000,9507702.0,5BDC5,CONTAINER,148.0,23.0,137.0,11.0,14.0,9.0,9909.0
b4e9ae5c-0a37-3331-9e0f-f87971792236,ONE TRIUMPH,538007360,9769271.0,V7FQ8,CONTAINER,400.0,59.0,143.0,257.0,25.0,34.0,210678.0
b53ad5cf-490d-3abb-8e5d-69c48bd3d184,TS BANGKOK,538007518,9784233.0,V7AZ4,CONTAINER,172.0,28.0,142.0,30.0,25.0,3.0,17249.0
b6185555-21d8-3266-93ff-54fa9f9d7692,MSC AGATA II,636017548,9057173.0,D5LM5,CONTAINER,179.0,25.0,161.0,18.0,24.0,1.0,16202.0
b6862573-17d5-3c2f-8091-4eb16267e812,CMA CGM MEDEA,228342900,9299800.0,FMFR,CONTAINER,348.0,43.0,259.0,89.0,28.0,15.0,107711.0
b6a421f2-578e-3fba-9edf-bea0e6c49e3c,KMTC BANGKOK,636017724,9772228.0,D5ML2,CONTAINER,172.0,27.0,132.0,40.0,7.0,20.0,18318.0
b6b7bd92-8c6b-3162-9966-f629abce4a70,ONE MATRIX,538003810,9424924.0,V7TI3,CONTAINER,302.0,43.0,213.0,89.0,28.0,15.0,78316.0
b733066e-df8f-3ccd-b6c2-8206df850d5d,MAERSK LAVRAS,477535200,9526928.0,VRJH6,CONTAINER,300.0,45.0,225.0,75.0,28.0,17.0,88236.0
b7910b7e-4eda-3d12-9917-93964cd939b5,SITC HONGKONG,372765000,9331115.0,3EKM7,CONTAINER,145.0,22.0,122.0,23.0,13.0,9.0,9571.0
b7f90ad0-e9a0-3f9a-8d7f-0b4959d896d6,ZIM CANADA,477842500,9945485.0,VRUN7,CONTAINER,330.0,48.0,109.0,221.0,30.0,18.0,114643.0
b83e0cb6-f1f8-3458-9cb5-291fa13ff929,ONE TRADITION,431808000,9769300.0,7KML,CONTAINER,400.0,59.0,143.0,257.0,25.0,34.0,210678.0
b875e4ee-41f2-3923-9c74-87f3e5370305,MILLENNIUM BRIGHT,353290000,9515606.0,3FCN3,CONTAINER,172.0,28.0,132.0,40.0,18.0,10.0,17211.0
b897d347-bc5b-3161-9a2d-14b3b45652ba,CMA CGM NORMA,215879000,9299812.0,9HA5346,CONTAINER,350.0,43.0,258.0,92.0,9.0,34.0,107711.0
b8dc24dd-84e6-34d2-a0d5-d44dfe2638b8,HYUNDAI COLOMBO,441399000,9323508.0,D7HC,CONTAINER,304.0,40.0,225.0,79.0,15.0,25.0,74651.0
b8de27c4-7392-36ce-a419-67371d4340b3,TABEA,255805778,9294812.0,CQDB,CONTAINER,277.0,40.0,187.0,90.0,26.0,14.0,66280.0
b9bc255c-37a0-3533-b5a7-0eba8d0e9f72,HYUNDAI  SPEED,241313000,9475698.0,SVBY3,CONTAINER,366.0,48.0,141.0,225.0,19.0,29.0,140979.0
b9ed75c1-18d5-35e5-b765-ee9d70d13dd9,TS DALIAN,538009749,9348857.0,V7A5115,CONTAINER,222.0,30.0,207.0,15.0,15.0,15.0,28007.0
ba4feaf6-2e64-37f8-ae16-2b349b37ea52,OOCL HAMBURG,477702000,9252008.0,VRZK9,CONTAINER,323.0,43.0,246.0,77.0,30.0,13.0,89097.0
ba6b3d59-a863-36d9-938a-3cee20a09c1c,PORTO KAGIO,636020868,9261451.0,5LBC6,CONTAINER,279.0,40.0,206.0,73.0,10.0,30.0,66332.0
ba6f4194-f5d1-37a2-b91d-d12986f6acfa,HEUNG-A ULSAN,440120000,9128996.0,DSEK9,CONTAINER,113.0,18.0,94.0,19.0,14.0,4.0,4914.0
ba7f84fe-0af9-3851-86b5-6a302f5e6cb0,SUNNY FREESIA,477326200,9856048.0,VRSS8,CONTAINER,142.0,23.0,118.0,24.0,9.0,14.0,9527.0
baad8530-0ff6-362d-8af4-d7ee75292729,GSL SYROS,636020985,9437062.0,5LBR7,CONTAINER,294.0,32.0,133.0,161.0,21.0,11.0,52726.0
babc9cc5-cb9d-3c7d-971a-f3cef9fb1bd3,SITC SHENZHEN,477024900,9639646.0,VRKS7,CONTAINER,143.0,23.0,120.0,23.0,17.0,6.0,9734.0
bae5ad53-4046-3476-866e-8f9e7d3956ae,EVER BEFIT,416036000,9784128.0,BKLN,CONTAINER,211.0,33.0,173.0,38.0,23.0,10.0,32145.0
bb1658db-509c-35ca-b1f4-fcb5defbd0ba,SITC ZHEJIANG,477585400,9691125.0,VRNQ8,CONTAINER,172.0,27.0,130.0,42.0,21.0,6.0,17119.0
bbb05928-2d64-3931-bb34-2d6b907b9977,STAR EXPLORER,538008859,9870977.0,V7A2844,CONTAINER,142.0,24.0,112.0,30.0,17.0,7.0,9949.0
bbc7eef6-93fd-3516-8662-cd7b3bf9cb8e,PANCON CHAMPION,440655000,9802023.0,D7SP,CONTAINER,172.0,27.0,131.0,41.0,9.0,18.0,18283.0
bc6cc8e5-a3ed-36d4-a2a4-729d1076a3de,SITC JIANGSU,477948200,9712383.0,VROF5,CONTAINER,172.0,28.0,130.0,42.0,19.0,9.0,17119.0
bd91d460-4cf1-31db-960d-d692e37a0eaf,CMA CGM TROCADERO,228402900,9839167.0,FMOL,CONTAINER,400.0,62.0,116.0,284.0,38.0,24.0,236583.0
be3952f4-f4be-3a46-b9f1-e2fb50f1169b,EVER FAR,636020371,9850862.0,D5YX3,CONTAINER,333.0,48.0,130.0,203.0,28.0,20.0,116295.0
bed2db3f-a935-34c4-a2d1-b16ec667139a,HONOR OCEAN,352002265,9158745.0,3E3839,CONTAINER,122.0,22.0,92.0,30.0,10.0,12.0,6393.0
bf00fc1d-2bc2-38fe-a448-b8472ff5b4bf,MAERSK SINGAPORE,563000600,9308649.0,9V5242,CONTAINER,335.0,42.0,250.0,85.0,19.0,23.0,93511.0
bf276d3b-735b-346b-b64f-77159cb5ac59,WECAN,441442000,9641156.0,D7XP,CONTAINER,146.0,22.0,117.0,29.0,16.0,6.0,9910.0
bf76561b-efe3-323f-ac52-5d7c3d17aac1,MTT SENARI,533131059,9813876.0,9M2054,CONTAINER,160.0,25.0,110.0,50.0,12.0,13.0,13059.0
