,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
60,부산,DSRB4,SJ HONOR,2022,10,최종,외항,출항,"1,545",2022-09-01 16:25,2022-09-07 16:43,2022-09-07 16:00,2022-09-08 14:04,기타,22KRMSK231E,MKC,05,감천 중앙부두 5선석,KOKURA,마산,일반화물선,2.0,9.0,,Y,Y,,
61,부산,DSRB4,SJ HONOR,2022,10,최종,외항,입항,"1,545",2022-09-01 16:25,2022-09-07 16:43,2022-09-01 17:00,2022-09-08 14:04,기타,22KRMSK231I,MKC,05,감천 중앙부두 5선석,OCEAN DISTRICT,마산,일반화물선,2.0,9.0,,Y,Y,,
62,부산,3E2083,BAO YUE,2022,2,최종,외항,입항,"2,994",2022-09-01 18:10,2022-09-03 16:43,2022-09-01 18:00,2022-09-02 15:01,기타,22SPSWA092I,WAM,07,M박지 M7 묘지,MIZUSHIMA,"KASHIMA, IBARAKI",일반화물선,,12.0,,Y,Y,,
63,부산,3E2083,BAO YUE,2022,2,최종,외항,출항,"2,994",2022-09-01 18:10,2022-09-03 16:43,2022-09-03 16:00,2022-09-05 15:07,기타,22SPSWA092E,MBU,02,연합부두 연2선석,KOBE,"KASHIMA, IBARAKI",일반화물선,,12.0,,Y,Y,,
64,인천,3E2498,GLORY STAR,2022,2,최종,외항,출항,"2,994",2022-09-01 18:10,2022-09-03 02:55,2022-09-03 01:00,2022-09-03 07:22,기타,22DKSPF628E,MB2,02,내항 2부두 22선석,LAIZHOU,TIANJIN XINGANG PT,일반화물선,,14.0,,Y,Y,,
65,인천,3E2498,GLORY STAR,2022,2,최종,외항,입항,"2,994",2022-09-01 18:10,2022-09-03 02:55,2022-09-01 18:30,2022-09-01 19:59,기타,22DKSPF627I,MB2,02,내항 2부두 22선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,일반화물선,,14.0,,Y,Y,,
66,인천,V3KX3,HAI PENG,2022,4,최종,외항,출항,"2,988",2022-09-01 18:15,2022-09-03 13:05,2022-09-03 11:30,2022-09-04 14:52,기타,22ONESN163E,MBU,02,북항 대한통운부두 2선석,DALIAN,HONG KONG,일반화물선,,12.0,,Y,Y,,
67,인천,V3KX3,HAI PENG,2022,4,최종,외항,입항,"2,988",2022-09-01 18:15,2022-09-03 13:05,2022-09-01 19:00,2022-09-02 09:47,기타,22ONESN163I,MBU,02,북항 대한통운부두 2선석,OCEAN DISTRICT,HONG KONG,일반화물선,,12.0,,Y,Y,,
68,부산,C6AL8,JAPIN ARROW,2022,1,최종,외항,출항,"44,865",2022-09-01 18:28,2022-09-02 12:52,2022-09-02 12:52,2022-09-05 17:47,기타,22GBPL2028E,MK7,02,감천 7부두 2선석,VALPARAISO,TIANJIN XINGANG PT,일반화물선,,21.0,,Y,Y,,
69,부산,C6AL8,JAPIN ARROW,2022,1,최종,외항,입항,"44,865",2022-09-01 18:28,2022-09-02 12:52,2022-09-01 18:28,2022-09-05 17:27,기타,22GBPL1028I,MK7,02,감천 7부두 2선석,VALPARAISO,TIANJIN XINGANG PT,일반화물선,,20.0,,Y,Y,,
70,부산,3E2673,HONG JIA 11 ,2022,8,최종,외항,출항,"4,257",2022-09-01 18:36,2022-09-02 09:45,2022-09-02 09:45,2022-09-02 16:04,기타,22HHSLH211E,MBS,01,신선대부두 1선석,WEIFANG,JINGTANG(TANGSHAN),일반화물선,,16.0,,Y,Y,,
71,부산,3E2673,HONG JIA 11 ,2022,8,최종,외항,입항,"4,257",2022-09-01 18:36,2022-09-02 09:45,2022-09-01 18:36,2022-09-02 15:25,기타,22HHSLH211I,MBS,01,신선대부두 1선석,WEIFANG,JINGTANG(TANGSHAN),일반화물선,,16.0,,Y,Y,,
72,인천,944402,골드페리3호,2022,96,최종,내항,출항,272,2022-09-01 19:30,2022-09-02 04:35,,2022-09-02 10:16,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,5.0,0.0,0.0,N,N,,
73,인천,944402,골드페리3호,2022,96,최종,내항,입항,272,2022-09-01 19:30,2022-09-02 04:35,,2022-09-02 10:13,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,5.0,0.0,0.0,N,N,,
74,부산,9LU2815,KIRI,2022,1,최종,내항,입항,19,2022-09-01 20:20,2022-10-01 09:30,2022-09-01 21:00,2022-09-08 15:53,기타,,*LP,01,대평동호안,부산,부산,일반화물선,1.0,,,Y,N,,
75,부산,9LU2815,KIRI,2022,1,최종,내항,출항,19,2022-09-01 20:20,2022-10-01 09:30,2022-10-01 08:00,2022-10-04 15:43,기타,,*LP,01,대평동호안,부산,부산,일반화물선,1.0,,,Y,N,,
76,인천,V3LN3,YUE XIANG,2022,4,최종,외항,출항,"1,971",2022-09-01 21:45,2022-09-02 15:50,2022-09-02 14:00,2022-09-02 17:20,기타,22JESPJ096E,MB2,03,내항 2부두 23선석,LANSHAN PT,FUNABASHI,일반화물선,,13.0,,Y,Y,,
