VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
57879b34-b8fd-3fa7-bd73-1203524e7de2,CMA CGM SEATTLE,229955000,9290098,9HA5642,CONTAINER,260.0,32.0,198.0,62.0,15.0,17.0,39941
57cb1510-e7d6-357b-949f-4802224c6de7,SAWASDEE CAPELLA,538010399,9943798,V7A5992,CONTAINER,172.0,27.0,131.0,41.0,21.0,6.0,18072
57cf4cef-1d8b-3bcb-8e52-3de1c02fc25e,SPIRIT OF CAPE TOWN,636017958,9178290,D5NN5,CONTAINER,196.0,30.0,149.0,47.0,24.0,6.0,26047
57cfeb9c-8e50-3acb-b744-12972e2b9d9e,KOTA RAKYAT,565127000,9296341,9VJK5,CONTAINER,146.0,23.0,118.0,28.0,18.0,5.0,9725
5808b892-f82c-3357-90e3-85effb0df39a,SUNNY ACACIA,356481000,9689665,3FUU5,CONTAINER,137.0,25.0,123.0,14.0,19.0,6.0,9867
58420aec-f221-3100-8316-dec0b524d2c6,GANTA BHUM,563139700,9315862,9V7482,CONTAINER,222.0,30.0,175.0,47.0,15.0,15.0,28592
584ef281-7b89-3425-aa61-23f8638698f8,HUIJINQIAO168,413469870,0.0,0000000,GENERAL_CARGO,69.0,16.0,6.0,63.0,7.0,9.0,
585934a7-b3be-3880-aa15-40c7f27b5703,CMACGM JACQUES SAADE,228386700,9839179,FLZE,CONTAINER,400.0,62.0,116.0,284.0,38.0,24.0,236583
5904bd7f-6015-31bb-8a40-b0cd5d0fad46,YM CONSTANCY,636019899,9864576,D5WR5,CONTAINER,210.0,33.0,170,40,5,28,32720
59162aed-8981-3f6f-bae5-cee5ad6aaf5d,EVER LASTING,235093618,9595450,2FRK7,CONTAINER,335.0,46.0,230,105,20,26,98882
5928ab6a-da98-33f6-a5ce-f567b7ca71ca,CMA CGM BLUE WHALE,215175000,9317963,9HA4994,CONTAINER,295.0,33.0,225,70,24,9,54309
592ecc5f-1f2c-3266-aa8a-ff5ed825f904,ACACIA VIRGO,352689000,9338292,3ESH9,CONTAINER,148.0,23.0,137,11,13,10,9954
59453876-7bd5-31b8-9c01-f58800fed1ae,SITC KAOHSIUNG,477521800,9404510,VRTE8,CONTAINER,139.0,23.0,127,12,6,17,9280
599a5b49-66df-3ec6-bd99-c0a2d605e80f,MSC BELMONTE III,354946000,9309289,HOJW,CONTAINER,231.0,32.0,179,52,10,22,35975
59ada655-4ae6-32cc-ba63-7b3b9421e11f,SAWASDEE CHITTAGONG,538009929,9940758,V7A5355,CONTAINER,172.0,27.0,131,41,20,7,18051
59b78c36-ce29-3266-813a-85976eeee38d,SAWASDEE SUNRISE,538008837,9886079,V7A2815,CONTAINER,172.0,27.0,132,40,21,6,18051
59dd1558-abbc-3a22-bf1b-693379cee19c,OOCL POLAND,477182200,9622588,VRLJ2,CONTAINER,366.0,48.0,144,222,18,30,141003
59f08119-9e6b-3cad-9c80-c73acfc47501,JOSCO BELLE,413284260,9330757,BOQQ8,CONTAINER,143.0,23.0,120,23,18,5,9590
5ae94145-0bd0-3f47-8ee3-7696fd6216cd,NORDTIGER,212283000,9626247,5BCH4,CONTAINER,170.0,28.0,157,13,15,13,18826
